PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,LOG-PRICE,LOG-PROPERTYSQFT
315000,2,2.0,1400.0,40.761255,-73.9744834,12.66032791780777,7.24422751560335
195000000,7,10.0,17545.0,40.7663935,-73.9809909,19.08851011652802,9.772524288017316
260000,4,2.0,2015.0,40.5418051,-74.1961086,12.468436909997665,7.608374474380783
69000,3,1.0,445.0,40.7613979,-73.9746128,11.141861783579396,6.09807428216624
55000000,7,2.3738608579684373,14175.0,40.7672235,-73.9698561,17.822843743196746,9.559235128595953
690000,5,2.0,4004.0,40.6743632,-73.9587248,13.444446876573442,8.295049140435111
899500,2,2.0,2184.207862,40.809448,-73.946777,13.709594332372724,7.689008507244377
16800000,8,16.0,33000.0,40.5950017,-74.1064235,16.636889444373487,10.404262840448617
265000,1,1.0,750.0,40.8215857,-73.8740892,12.487485104968359,6.620073206530356
440000,2,1.0,978.0,40.6157378,-73.9696944,12.994530005894443,6.885509670034818
375000,2,1.0,850.0,40.8248699,-73.9229829,12.834681304952548,6.745236349484363
689000,3,2.3738608579684373,1162.0,40.6249962,-74.1553058,13.442996549995796,7.057897937411856
259000,3,1.0,2184.207862,40.7531191,-73.8818757,12.464583340681674,7.689008507244377
430000,2,2.0,2184.207862,40.7438639,-73.8745722,12.971540487669746,7.689008507244377
895000,3,1.0,2184.207862,40.7382981,-74.0058899,13.704578997256993,7.689008507244377
549000,2,2.0,1000.0,40.5406209,-74.1671632,13.215853720491667,6.907755278982137
975000,3,2.0,1734.0,40.7607676,-73.9056672,13.790192749979985,7.458186157340487
199000,3,1.0,325.0,40.6181029,-74.0369047,12.201060103706629,5.783825182329737
350000,1,1.0,700.0,40.9073699,-73.9065578,12.765688433465597,6.551080335043404
599000,2,2.0,974.0,40.7324713,-73.8670804,13.303016877097587,6.881411303642535
639999,3,2.0,1260.0,40.6207403,-74.1114362,13.369221892834634,7.138866999945524
1300000,2,2.0,1244.0,40.7202429,-73.8430513,14.077874822431765,7.126087273299125
1100000,6,3.0,2837.0,40.8343936,-73.8221101,13.9108207377686,7.950502434808851
349900,1,1.0,651.0,40.5902064,-74.0958034,12.765402678355779,6.478509642208569
750000,2,2.0,1330.0,40.5039785,-74.2396555,13.527828485512494,7.1929342212158
1690000,6,4.0,2200.0,40.710749,-73.809486,14.340239086899256,7.696212639346407
325000,1,1.0,2184.207862,40.7505078,-73.8851355,12.691580461311874,7.689008507244377
2250000,12,2.3738608579684373,5670.0,40.602654,-73.9869399,14.626440774180603,8.642944396721798
230000,1,1.0,2184.207862,40.7557689,-73.8734231,12.345834587905333,7.689008507244377
1299888,10,6.0,3156.0,40.6155667,-74.0869554,14.077788664874156,8.057060681965766
925000,5,2.0,2750.0,40.8242389,-73.8173809,13.737549016494562,7.919356190660617
329000,1,2.0,794.0,40.6210398,-74.1504313,12.70381302974751,6.677083461247136
1300000,10,8.0,5040.0,40.6274381,-74.1581613,14.077874822431765,8.525161361065415
848000,5,4.0,2080.0,40.6615475,-73.898309,13.65063591477404,7.640123172695364
279000,1,1.0,750.0,40.6179165,-73.9546305,12.538967060803502,6.620073206530356
528000,1,1.0,602.0,40.6275896,-74.0016198,13.176851562688398,6.400257445308821
1299888,11,4.0,3156.0,40.6155667,-74.0869554,14.077788664874156,8.057060681965766
275000,1,1.0,2184.207862,40.7528774,-73.8211834,12.524526376648708,7.689008507244377
1165000,1,1.0,815.0,40.711969,-73.9649468,13.968231644981937,6.703188113240863
1199000,6,5.0,3290.0,40.5159256,-74.2361135,13.996998434009651,8.098642843759418
700000,6,2.0,3053.0,40.852813,-73.9176871,13.458835614025542,8.023879992734878
2150000,8,4.0,3200.0,40.614446,-73.9795824,14.580978400103845,8.070906088787819
1280000,7,5.0,2460.0,40.688312,-73.856322,14.0623706358958,7.807916628926408
199900,1,1.0,2184.207862,40.8260352,-73.9256625,12.205572520488492,7.689008507244377
369000,2,1.0,2184.207862,40.753455,-73.8209077,12.818551923022664,7.689008507244377
699000,4,3.0,1591.0,40.6847504,-73.8027331,13.457406021215947,7.372118028337787
4250000,3,2.0,2400.0,40.725464,-73.9999212,15.2624295409006,7.783224016336037
825000,2,2.0,2184.207862,40.768457,-73.789417,13.623138665316818,7.689008507244377
329000,2,1.0,837.0,40.6315346,-74.0856344,12.70381302974751,6.729824070489475
889000,2,2.0,1520.0,40.6233188,-74.1259917,13.697852514496041,7.326465613840322
769000,2,2.0,2184.207862,40.6868333,-73.8309133,13.55284624848778,7.689008507244377
1200000,4,2.0,2536.0,40.6042861,-74.0012526,13.997832114758229,7.8383433155571165
220500,2,1.0,900.0,40.6481488,-74.0847983,12.303652973869038,6.802394763324311
1999000,3,3.0,2739.0,40.6281691,-74.0297598,14.508157613482537,7.915348169263078
3250000,2,2.0,1300.0,40.7199716,-73.9980266,14.994165554305921,7.170119543449628
1650000,2,2.0,1267.0,40.6866098,-73.9997131,14.316285845876763,7.144407180321139
1049000,4,4.0,2554.0,40.5016233,-74.2417531,13.863347887378435,7.845416036592485
998800,3,4.0,2400.0,40.6175,-74.103996,13.814309837387755,7.783224016336037
998800,3,4.0,2400.0,40.618648,-74.1019085,13.814309837387755,7.783224016336037
3150000,3,2.0,1952.0,40.6754035,-73.9742051,14.962913010801817,7.5766097669730375
849000,1,1.0,2184.207862,40.7802357,-73.9846328,13.651814465293484,7.689008507244377
559500,1,1.0,800.0,40.5751942,-73.9669983,13.234798806734117,6.684611727667927
750000,1,1.0,835.0,40.7643711,-73.9593578,13.527828485512494,6.727431724850855
1900000,2,2.0,1029.0,40.7193408,-73.9856438,14.457364444136669,6.9363427358340495
1250000,2,2.0,1201.0,40.6400234,-73.9676099,14.038654109278484,7.0909098220799835
1395000,2,2.0,1182.0,40.6787789,-73.9643728,14.148404973237604,7.074963197966044
198000,1,1.0,2184.207862,40.700309,-73.8535466,12.196022309676673,7.689008507244377
619888,3,2.0,1400.0,40.5632116,-74.1002521,13.337294095541681,7.24422751560335
1489000,6,2.3738608579684373,3780.0,40.5395319,-74.1450877,14.213615311666146,8.237479288613633
65000000,3,2.3738608579684373,15200.0,40.7765613,-73.9633167,17.98989782785991,9.629050706834368
1595000,3,3.0,1413.0,40.6915139,-73.935444,14.282384294201082,7.253470382684528
655000,3,2.0,803.0,40.6967268,-73.9074036,13.39239051461739,6.688354713946762
