PRICE,BEDS,BATH,PROPERTYSQ,LATITUDE,LONGITUDE,LOG-PRICE,LOG-PROPER,SUBLOCALIT,TYPE,BOROUGH,TYPE-GROUP,RESIDUALS,Y-HAT,geometry,RESIDUALS_SAR
1153000,4,2.373860857968437,3980.0,40.5078915,-74.2530332,13.957877799251197,8.289037098278484,Richmond County,Multi-family home for sale,STATEN_ISLAND,MULTI_FAMILY,0.041755216279689,13.916122582971507,"POLYGON ((-74.2530332 40.511553841142955, -74.25205167289866 40.511161820741385, -74.2501761356023 40.50946297698628, -74.24977703236738 40.50622161152417, -74.2530332 40.50603652595457, -74.2530332 40.511553841142955))",-0.3597712021341483
838000,4,4.0,2780.0,40.5124611,-74.2488941,13.63877337946422,7.930206206684684,Richmond County,Pending,STATEN_ISLAND,OTHER,-0.119788098116677,13.758561477580898,"POLYGON ((-74.25205167289866 40.511161820741385, -74.24693973676936 40.515889644925046, -74.24853079794383 40.51026678475347, -74.2501761356023 40.50946297698628, -74.25205167289866 40.511161820741385))",-0.6811319037755709
1280000,5,4.0,3600.0,40.4995462,-74.2443078,14.0623706358958,8.188689124444203,Richmond County,Pending,STATEN_ISLAND,OTHER,0.155888970267814,13.906481665627986,"POLYGON ((-74.2498335673531 40.4995462, -74.24799317648187 40.50291832926787, -74.2477612596349 40.50297054999219, -74.24308439308382 40.500651096539045, -74.24278616563402 40.50028429587176, -74.24272693470316 40.4995462, -74.2498335673531 40.4995462))",-0.3567477651582026
1250000,5,4.0,2700.0,40.5041935,-74.252823,14.038654109278484,7.90100705199242,Richmond County,Multi-family home for sale,STATEN_ISLAND,MULTI_FAMILY,0.107009399297082,13.931644709981402,"POLYGON ((-74.2530332 40.4995462, -74.2530332 40.50603652595457, -74.24977703236738 40.50622161152417, -74.24938833521453 40.50571364267626, -74.24799317648187 40.50291832926787, -74.2498335673531 40.4995462, -74.2530332 40.4995462))",-0.27494515637456984
1100000,3,2.0,1928.0,40.5142085,-74.2505102,13.9108207377686,7.564238475170492,Richmond County,Multi-family home for sale,STATEN_ISLAND,MULTI_FAMILY,0.464094232170677,13.446726505597923,"POLYGON ((-74.2530332 40.529655552687544, -74.24618137752262 40.52609653286423, -74.24476921486205 40.51918757989499, -74.24693973676936 40.515889644925046, -74.25205167289866 40.511161820741385, -74.2530332 40.511553841142955, -74.2530332 40.529655552687544))",0.1717027816669368
989000,6,4.0,2720.0,40.5119454,-74.2470716,13.804449610604848,7.908387159290044,Richmond County,House for sale,STATEN_ISLAND,HOUSE,-0.328154400399136,14.132604011003984,"POLYGON ((-74.24476921486205 40.51918757989499, -74.24309552059876 40.515940200321275, -74.24506815757567 40.51031735712856, -74.24853079794383 40.51026678475347, -74.24693973676936 40.515889644925046, -74.24476921486205 40.51918757989499))",-0.4623402519929131
1229000,6,5.0,2816.0,40.5086315,-74.2470232,14.021711388548171,7.943072717277934,Richmond County,Multi-family home for sale,STATEN_ISLAND,MULTI_FAMILY,-0.080104960110845,14.101816348659016,"POLYGON ((-74.2501761356023 40.50946297698628, -74.24853079794383 40.51026678475347, -74.24506815757567 40.51031735712856, -74.2447913561394 40.50958104323409, -74.24938833521453 40.50571364267626, -74.24977703236738 40.50622161152417, -74.2501761356023 40.50946297698628))",-0.3942912391508004
1100000,4,2.0,1800.0,40.5103369,-74.2424867,13.9108207377686,7.495541943884256,Richmond County,House for sale,STATEN_ISLAND,HOUSE,0.306670770122892,13.604149967645707,"POLYGON ((-74.2410292143991 40.51203477481742, -74.24060686242737 40.508725564255556, -74.2427488363134 40.5069315388607, -74.2447913561394 40.50958104323409, -74.24506815757567 40.51031735712856, -74.24309552059876 40.515940200321275, -74.2422233995243 40.515278218756144, -74.2410292143991 40.51203477481742))",0.10738260169423537
1399999,3,2.0,2700.0,40.5116874,-74.2388187,14.151982080299518,7.90100705199242,Richmond County,House for sale,STATEN_ISLAND,HOUSE,0.315799467874971,13.836182612424548,"POLYGON ((-74.2422233995243 40.515278218756144, -74.23923055532137 40.5145355037272, -74.23801050326452 40.51310980299773, -74.23869544987761 40.51115818401006, -74.23896586159343 40.511206549438526, -74.2410292143991 40.51203477481742, -74.2422233995243 40.515278218756144))",0.11480932153723658
924800,4,3.0,2049.0,40.5075446,-74.2461088,13.73733277690025,7.6251071482389,Richmond County,Multi-family home for sale,STATEN_ISLAND,MULTI_FAMILY,0.1096743685763,13.62765840832395,"POLYGON ((-74.2477612596349 40.50297054999219, -74.24799317648187 40.50291832926787, -74.24938833521453 40.50571364267626, -74.2447913561394 40.50958104323409, -74.2427488363134 40.5069315388607, -74.24289375432902 40.50590315959926, -74.2477612596349 40.50297054999219))",-0.3206383775715994
1250000,6,4.0,2184.207862,40.5022937,-74.2429452,14.038654109278484,7.689008507244378,Richmond County,Pending,STATEN_ISLAND,OTHER,0.418121130319411,13.620532978959073,"POLYGON ((-74.24289375432902 40.50590315959926, -74.24258541836123 40.50564529360632, -74.24148459299816 40.503495848451486, -74.24308439308382 40.500651096539045, -74.2477612596349 40.50297054999219, -74.24289375432902 40.50590315959926))",-0.09399677069434523
1049000,4,4.0,2554.0,40.5016233,-74.2417531,13.863347887378437,7.845416036592486,Richmond County,Multi-family home for sale,STATEN_ISLAND,MULTI_FAMILY,-0.036484146071137,13.899832033449574,"POLYGON ((-74.24308439308382 40.500651096539045, -74.24148459299816 40.503495848451486, -74.24060679029523 40.50271405541919, -74.24049148758326 40.50102211344994, -74.24278616563402 40.50028429587176, -74.24308439308382 40.500651096539045))",-0.29375919276227175
